SECCION,lista_nominal,votantes,no_votantes,no_sabe,participacion,abstencion,lista_nominal_hombre,lista_nominal_mujer,participacion_hombre,participacion_mujer,votantes_hombre,votantes_mujer,brecha_part_m_h,indice_oportunidad_0_100,nivel_oportunidad
2540,223,110,113,0,0.493274,0.506726,112,111,0.517857,0.468468,58,52,-0.049389,11.115813,Baja
2541,369,165,204,0,0.447154,0.552846,193,176,0.471503,0.420455,91,74,-0.051048,13.773935,Baja
2542,288,139,149,0,0.482639,0.517361,152,136,0.5,0.463235,76,63,-0.036765,11.872883,Baja
2543,344,181,163,0,0.526163,0.473837,170,174,0.558824,0.494253,95,86,-0.064571,10.300296,Baja
2544,277,154,123,0,0.555957,0.444043,139,138,0.597122,0.514493,83,71,-0.08263,8.744975,Baja
2545,402,180,222,0,0.447761,0.552239,208,194,0.5,0.391753,104,76,-0.108247,13.915251,Baja
2546,441,195,246,0,0.442177,0.557823,215,226,0.493023,0.393805,106,89,-0.099218,14.352756,Baja
2547,266,108,158,0,0.406015,0.593985,134,132,0.432836,0.378788,58,50,-0.054048,14.974278,Baja
2548,384,199,185,0,0.518229,0.481771,203,181,0.527094,0.508287,107,92,-0.018806,10.821018,Baja
2549,280,154,126,0,0.55,0.45,147,133,0.605442,0.488722,89,65,-0.11672,9.008015,Baja
2550,291,176,115,0,0.604811,0.395189,153,138,0.620915,0.586957,95,81,-0.033959,6.753144,Baja
2551,440,230,210,0,0.522727,0.477273,232,208,0.551724,0.490385,128,102,-0.06134,10.886218,Baja
2552,283,153,130,0,0.540636,0.459364,139,144,0.561151,0.520833,78,75,-0.040318,9.4143,Baja
2553,197,98,99,0,0.497462,0.502538,106,91,0.443396,0.56044,47,51,0.117043,10.818159,Baja
2554,415,227,188,0,0.546988,0.453012,212,203,0.561321,0.53202,119,108,-0.029301,9.732853,Baja
2555,380,174,206,0,0.457895,0.542105,183,197,0.459016,0.456853,84,90,-0.002164,13.372246,Baja
2556,419,190,229,0,0.453461,0.546539,215,204,0.455814,0.45098,98,92,-0.004834,13.757183,Baja
2557,280,165,115,0,0.589286,0.410714,153,127,0.575163,0.606299,88,77,0.031136,7.359787,Baja
2558,224,128,96,0,0.571429,0.428571,116,108,0.577586,0.564815,67,61,-0.012771,7.869432,Baja
2559,338,159,179,0,0.470414,0.529586,179,159,0.469274,0.471698,84,75,0.002424,12.632391,Baja
2560,468,264,204,0,0.564103,0.435897,242,226,0.603306,0.522124,146,118,-0.081182,9.229304,Baja
2561,256,142,114,0,0.554688,0.445312,132,124,0.575758,0.532258,76,66,-0.0435,8.706132,Baja
2562,496,216,280,0,0.435484,0.564516,243,253,0.473251,0.399209,115,101,-0.074042,14.92323,Baja
2563,387,194,193,0,0.501292,0.498708,218,169,0.527523,0.467456,115,79,-0.060067,11.556988,Baja
2564,427,253,174,0,0.592506,0.407494,232,195,0.603448,0.579487,140,113,-0.023961,7.833802,Baja
2565,256,131,125,0,0.511719,0.488281,136,120,0.5,0.525,68,63,0.025,10.502325,Baja
2566,133,85,48,0,0.639098,0.360902,73,60,0.712329,0.55,52,33,-0.162329,4.704364,Baja
2567,397,187,210,0,0.471033,0.528967,212,185,0.443396,0.502703,94,93,0.059306,12.896261,Baja
2568,203,124,79,0,0.610837,0.389163,102,101,0.686275,0.534653,70,54,-0.151621,6.145501,Baja
2569,162,76,86,0,0.469136,0.530864,84,78,0.5,0.435897,42,34,-0.064103,11.819144,Baja
